game_id,season,game_type,game_date,start_time_utc,eastern_utc_offset,game_state,venue,home_abbrev,away_abbrev,home_score,away_score,winner_abbrev,loser_abbrev,goal_diff
2024020260,20242025,2,2024-11-14,2024-11-15T00:00:00Z,-05:00,OFF,Amerant Bank Arena,FLA,NJD,2.0,6.0,NJD,FLA,4.0
2024020261,20242025,2,2024-11-14,2024-11-15T00:00:00Z,-05:00,OFF,Madison Square Garden,NYR,SJS,3.0,2.0,NYR,SJS,1.0
2024020262,20242025,2,2024-11-14,2024-11-15T01:00:00Z,-05:00,OFF,American Airlines Center,DAL,BOS,7.0,2.0,DAL,BOS,5.0
2024020263,20242025,2,2024-11-14,2024-11-15T01:00:00Z,-05:00,OFF,Xcel Energy Center,MIN,MTL,3.0,0.0,MIN,MTL,3.0
2024020264,20242025,2,2024-11-14,2024-11-15T02:00:00Z,-05:00,OFF,Rogers Place,EDM,NSH,3.0,2.0,EDM,NSH,1.0
2024020265,20242025,2,2024-11-14,2024-11-15T03:00:00Z,-05:00,OFF,Rogers Arena,VAN,NYI,2.0,5.0,NYI,VAN,3.0
2024020266,20242025,2,2024-11-14,2024-11-15T03:00:00Z,-05:00,OFF,Climate Pledge Arena,SEA,CHI,3.0,1.0,SEA,CHI,2.0
2024020267,20242025,2,2024-11-15,2024-11-16T00:00:00Z,-05:00,OFF,Nationwide Arena,CBJ,PIT,6.0,2.0,CBJ,PIT,4.0
2024020268,20242025,2,2024-11-15,2024-11-16T02:00:00Z,-05:00,OFF,Ball Arena,COL,WSH,2.0,5.0,WSH,COL,3.0
2024020269,20242025,2,2024-11-15,2024-11-16T02:00:00Z,-05:00,OFF,Scotiabank Saddledome,CGY,NSH,2.0,0.0,CGY,NSH,2.0
2024020270,20242025,2,2024-11-15,2024-11-16T02:00:00Z,-05:00,OFF,Delta Center,UTA,VGK,2.0,4.0,VGK,UTA,2.0
2024020271,20242025,2,2024-11-15,2024-11-16T03:00:00Z,-05:00,OFF,Honda Center,ANA,DET,6.0,4.0,ANA,DET,2.0
2024020272,20242025,2,2024-11-16,2024-11-16T18:00:00Z,-05:00,OFF,TD Garden,BOS,STL,2.0,3.0,STL,BOS,1.0
2024020273,20242025,2,2024-11-16,2024-11-16T21:00:00Z,-05:00,OFF,Climate Pledge Arena,SEA,NYI,3.0,2.0,SEA,NYI,1.0
2024020274,20242025,2,2024-11-16,2024-11-17T00:00:00Z,-05:00,OFF,Scotiabank Arena,TOR,EDM,4.0,3.0,TOR,EDM,1.0
2024020275,20242025,2,2024-11-16,2024-11-17T00:00:00Z,-05:00,OFF,Centre Bell,MTL,CBJ,5.0,1.0,MTL,CBJ,4.0
2024020276,20242025,2,2024-11-16,2024-11-17T00:00:00Z,-05:00,OFF,Amalie Arena,TBL,NJD,4.0,0.0,TBL,NJD,4.0
2024020277,20242025,2,2024-11-16,2024-11-17T00:00:00Z,-05:00,OFF,Amerant Bank Arena,FLA,WPG,5.0,0.0,FLA,WPG,5.0
2024020278,20242025,2,2024-11-16,2024-11-17T00:00:00Z,-05:00,OFF,Wells Fargo Center,PHI,BUF,5.0,2.0,PHI,BUF,3.0
2024020279,20242025,2,2024-11-16,2024-11-17T00:00:00Z,-05:00,OFF,PPG Paints Arena,PIT,SJS,4.0,3.0,PIT,SJS,1.0
2024020280,20242025,2,2024-11-16,2024-11-17T00:00:00Z,-05:00,OFF,Lenovo Center,CAR,OTT,4.0,0.0,CAR,OTT,4.0
2024020281,20242025,2,2024-11-16,2024-11-17T01:00:00Z,-05:00,OFF,Xcel Energy Center,MIN,DAL,1.0,2.0,DAL,MIN,1.0
2024020282,20242025,2,2024-11-16,2024-11-17T01:00:00Z,-05:00,OFF,Crypto.com Arena,LAK,DET,4.0,1.0,LAK,DET,3.0
2024020283,20242025,2,2024-11-16,2024-11-17T03:00:00Z,-05:00,OFF,Rogers Arena,VAN,CHI,4.0,1.0,VAN,CHI,3.0
2024020284,20242025,2,2024-11-17,2024-11-17T22:00:00Z,-05:00,OFF,Lenovo Center,CAR,STL,4.0,1.0,CAR,STL,3.0
2024020285,20242025,2,2024-11-17,2024-11-18T03:00:00Z,-05:00,OFF,Rogers Arena,VAN,NSH,3.0,5.0,NSH,VAN,2.0
2024020286,20242025,2,2024-11-17,2024-11-18T01:00:00Z,-05:00,OFF,T-Mobile Arena,VGK,WSH,2.0,5.0,WSH,VGK,3.0
2024020287,20242025,2,2024-11-17,2024-11-18T02:00:00Z,-05:00,OFF,Climate Pledge Arena,SEA,NYR,0.0,2.0,NYR,SEA,2.0
2024020288,20242025,2,2024-11-18,2024-11-19T00:00:00Z,-05:00,OFF,TD Garden,BOS,CBJ,1.0,5.0,CBJ,BOS,4.0
